timestamp,value
2024-01-01 10:00:00,24.4
2024-01-01 10:00:01,23.4
2024-01-01 10:00:02,23.2
2024-01-01 10:00:03,22.8
2024-01-01 10:00:04,23.7
2024-01-01 10:00:05,23.1
2024-01-01 10:00:06,23.6
2024-01-01 10:00:07,22.5
2024-01-01 10:00:08,23.4
2024-01-01 10:00:09,23.2
2024-01-01 10:00:10,22.6
2024-01-01 10:00:11,23.5
2024-01-01 10:00:12,23.1
2024-01-01 10:00:13,23.6
2024-01-01 10:00:14,23.8
2024-01-01 10:00:15,23.7
2024-01-01 10:00:16,23.1
2024-01-01 10:00:17,23.4
2024-01-01 10:00:18,24.5
2024-01-01 10:00:19,24.3
2024-01-01 10:00:20,23.2
2024-01-01 10:00:21,23.8
2024-01-01 10:00:22,23.1
2024-01-01 10:00:23,24.1
2024-01-01 10:00:24,24.2
2024-01-01 10:00:25,24.4
2024-01-01 10:00:26,23.1
2024-01-01 10:00:27,23.0
2024-01-01 10:00:28,24.0
2024-01-01 10:00:29,24.2
2024-01-01 10:00:30,23.9
2024-01-01 10:00:31,24.5
2024-01-01 10:00:32,23.8
2024-01-01 10:00:33,23.1
2024-01-01 10:00:34,22.5
2024-01-01 10:00:35,23.3
2024-01-01 10:00:36,23.5
2024-01-01 10:00:37,22.7
2024-01-01 10:00:38,24.5
2024-01-01 10:00:39,24.2
2024-01-01 10:00:40,24.2
2024-01-01 10:00:41,23.5
2024-01-01 10:00:42,23.6
2024-01-01 10:00:43,24.3
2024-01-01 10:00:44,23.3
2024-01-01 10:00:45,23.8
2024-01-01 10:00:46,22.9
2024-01-01 10:00:47,23.1
2024-01-01 10:00:48,22.9
2024-01-01 10:00:49,24.1
2024-01-01 10:00:50,22.6
2024-01-01 10:00:51,24.4
2024-01-01 10:00:52,22.9
2024-01-01 10:00:53,23.2
2024-01-01 10:00:54,24.4
2024-01-01 10:00:55,23.7
2024-01-01 10:00:56,23.4
2024-01-01 10:00:57,23.1
2024-01-01 10:00:58,23.1
2024-01-01 10:00:59,24.3
2024-01-01 10:01:00,22.9
2024-01-01 10:01:01,23.1
2024-01-01 10:01:02,23.8
2024-01-01 10:01:03,24.0
2024-01-01 10:01:04,23.9
2024-01-01 10:01:05,23.7
2024-01-01 10:01:06,24.1
2024-01-01 10:01:07,23.6
2024-01-01 10:01:08,24.0
2024-01-01 10:01:09,23.9
2024-01-01 10:01:10,23.0
2024-01-01 10:01:11,22.9
2024-01-01 10:01:12,22.6
2024-01-01 10:01:13,22.6
2024-01-01 10:01:14,23.7
2024-01-01 10:01:15,23.2
2024-01-01 10:01:16,23.1
2024-01-01 10:01:17,23.4
2024-01-01 10:01:18,23.3
2024-01-01 10:01:19,22.8
2024-01-01 10:01:20,23.3
2024-01-01 10:01:21,22.6
2024-01-01 10:01:22,23.4
2024-01-01 10:01:23,22.8
2024-01-01 10:01:24,23.0
2024-01-01 10:01:25,23.7
2024-01-01 10:01:26,22.7
2024-01-01 10:01:27,23.3
2024-01-01 10:01:28,24.1
2024-01-01 10:01:29,23.2
2024-01-01 10:01:30,23.0
2024-01-01 10:01:31,22.5
2024-01-01 10:01:32,23.8
2024-01-01 10:01:33,23.7
2024-01-01 10:01:34,23.0
2024-01-01 10:01:35,23.1
2024-01-01 10:01:36,23.4
2024-01-01 10:01:37,22.9
2024-01-01 10:01:38,22.5
2024-01-01 10:01:39,22.8
